                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79287,                  1.188,                 0.9995,                0.90783,                0.70647,                0.76316,                0.49293,                 1.3549,                 1.1225,                 1.1286,               0.003327,               0.003327,               0.003327
                      2,                0.72157,                0.53787,                0.95954,                0.90949,                0.70125,                0.75149,                0.48699,                 1.2952,                 1.0351,                 1.1638,              0.0065944,              0.0065944,              0.0065944
                      3,                0.76899,                0.50668,                0.98905,                0.83945,                0.58292,                0.64518,                 0.4307,                 1.4002,                  1.714,                 1.2598,              0.0097958,              0.0097958,              0.0097958
                      4,                0.76417,                0.48682,                0.99599,                0.90039,                0.68629,                0.75503,                 0.4955,                  1.447,                 1.0199,                 1.1832,               0.009703,               0.009703,               0.009703
                      5,                0.70377,                0.43173,                0.96868,                0.89137,                0.64317,                0.71713,                 0.4707,                 1.4096,                 1.1496,                  1.188,               0.009604,               0.009604,               0.009604
                      6,                0.66565,                0.39983,                0.95351,                0.86442,                0.68842,                 0.7475,                 0.4842,                 1.5952,                 0.9721,                 1.2803,               0.009505,               0.009505,               0.009505
                      7,                0.64177,                0.38197,                0.94521,                0.88989,                0.69189,                0.75826,                0.52095,                 1.3147,                0.99387,                 1.1383,               0.009406,               0.009406,               0.009406
                      8,                0.62285,                0.36783,                0.93703,                0.92986,                0.77673,                0.83298,                 0.5495,                 1.4492,                0.73426,                 1.1431,               0.009307,               0.009307,               0.009307
                      9,                0.60316,                0.35547,                0.92839,                0.92965,                0.72454,                0.78951,                0.54065,                 1.3609,                0.86529,                 1.1404,               0.009208,               0.009208,               0.009208
                     10,                0.58618,                0.34259,                 0.9203,                0.93021,                0.75782,                0.82053,                0.56415,                 1.3797,                 0.7601,                 1.1276,               0.009109,               0.009109,               0.009109
                     11,                0.57425,                0.33394,                0.91855,                0.92142,                0.71083,                0.78416,                0.53436,                 1.4247,                0.89894,                 1.1933,                0.00901,                0.00901,                0.00901
                     12,                 0.5628,                0.32711,                0.91547,                0.92372,                 0.7221,                 0.7927,                0.53475,                 1.5293,                0.86235,                 1.2333,               0.008911,               0.008911,               0.008911
                     13,                0.55169,                0.31975,                0.90879,                0.91796,                0.71747,                0.79175,                 0.5294,                 1.5093,                0.94247,                 1.2131,               0.008812,               0.008812,               0.008812
                     14,                0.54249,                0.31509,                0.90643,                 0.9409,                0.74981,                0.81576,                0.55504,                 1.4182,                 0.7955,                 1.1685,               0.008713,               0.008713,               0.008713
                     15,                 0.5346,                0.30974,                0.90304,                0.93566,                0.74683,                0.81768,                0.53994,                 1.5139,                0.85064,                 1.1997,               0.008614,               0.008614,               0.008614
                     16,                0.52608,                0.30463,                0.90101,                0.93424,                0.72129,                0.80077,                 0.5582,                 1.4695,                 1.0187,                 1.2051,               0.008515,               0.008515,               0.008515
                     17,                0.52161,                0.30143,                0.89687,                0.94037,                0.73668,                0.82467,                0.56151,                 1.5276,                0.87273,                 1.2343,               0.008416,               0.008416,               0.008416
                     18,                 0.5141,                0.29702,                0.89637,                0.92527,                0.70514,                0.79304,                0.54423,                 1.5159,                 1.0981,                 1.2514,               0.008317,               0.008317,               0.008317
                     19,                0.50652,                 0.2934,                0.89454,                0.92889,                0.73386,                0.81268,                 0.5575,                 1.4583,                0.93098,                 1.2173,               0.008218,               0.008218,               0.008218
                     20,                 0.4995,                0.28935,                0.89258,                 0.9258,                0.71573,                0.79724,                 0.5498,                 1.4362,                0.97778,                 1.2071,               0.008119,               0.008119,               0.008119
                     21,                0.49404,                0.28555,                0.89136,                0.91947,                0.71856,                0.80125,                 0.5636,                 1.4099,                 1.0221,                 1.1863,                0.00802,                0.00802,                0.00802
                     22,                0.48811,                0.28347,                0.88905,                0.92612,                0.68362,                0.77935,                0.55798,                 1.4258,                 1.1949,                 1.2048,               0.007921,               0.007921,               0.007921
                     23,                0.48405,                0.28095,                0.88687,                0.92212,                 0.7306,                0.81354,                0.58018,                 1.3705,                0.91658,                 1.1577,               0.007822,               0.007822,               0.007822
                     24,                0.47878,                0.28038,                0.88425,                0.93048,                0.74154,                0.82192,                0.57438,                 1.4191,                0.86218,                 1.1808,               0.007723,               0.007723,               0.007723
                     25,                0.47656,                0.27803,                0.88591,                0.92512,                0.74044,                0.81954,                0.57516,                 1.4231,                0.88057,                 1.1876,               0.007624,               0.007624,               0.007624
                     26,                 0.4695,                0.27341,                0.88155,                0.92709,                0.75251,                0.82443,                0.56997,                 1.4546,                0.85086,                  1.205,               0.007525,               0.007525,               0.007525
                     27,                  0.465,                0.27228,                0.88263,                 0.9316,                0.74633,                0.82233,                0.56579,                 1.4806,                0.87026,                 1.2273,               0.007426,               0.007426,               0.007426
                     28,                0.46119,                0.27009,                0.88056,                 0.9285,                0.75116,                0.82345,                0.56944,                   1.46,                0.85779,                 1.2138,               0.007327,               0.007327,               0.007327
                     29,                0.45677,                0.26787,                0.87845,                0.93664,                0.75193,                0.82546,                0.57014,                 1.4651,                0.84686,                 1.2177,               0.007228,               0.007228,               0.007228
                     30,                0.45009,                0.26327,                0.87609,                 0.9348,                0.75835,                0.82967,                0.57296,                 1.4629,                0.82973,                 1.2137,               0.007129,               0.007129,               0.007129
                     31,                0.44628,                0.26228,                0.87654,                0.93666,                0.75937,                0.83305,                 0.5766,                 1.4507,                0.82192,                 1.2044,                0.00703,                0.00703,                0.00703
                     32,                0.44405,                 0.2606,                 0.8747,                0.93646,                 0.7583,                0.83317,                0.57887,                  1.444,                0.82488,                    1.2,               0.006931,               0.006931,               0.006931
                     33,                0.43882,                0.25869,                0.87258,                0.93774,                0.75695,                0.83269,                0.57979,                 1.4355,                0.82629,                 1.1952,               0.006832,               0.006832,               0.006832
                     34,                0.43789,                0.25743,                0.87254,                0.93834,                0.75734,                0.83326,                0.58139,                 1.4359,                0.82455,                 1.1951,               0.006733,               0.006733,               0.006733
                     35,                0.43373,                0.25578,                0.87252,                0.93605,                0.75734,                0.83268,                0.58086,                 1.4415,                0.83137,                 1.1981,               0.006634,               0.006634,               0.006634
                     36,                0.43098,                0.25366,                0.87045,                0.93584,                0.75627,                0.83192,                0.58185,                 1.4429,                0.83885,                 1.1993,               0.006535,               0.006535,               0.006535
                     37,                0.42902,                0.25264,                0.87154,                0.93681,                0.75418,                0.83162,                0.58204,                 1.4411,                0.83941,                 1.1984,               0.006436,               0.006436,               0.006436
                     38,                0.42128,                0.25073,                0.87059,                0.93581,                0.75424,                0.83149,                 0.5819,                 1.4397,                0.84152,                 1.1982,               0.006337,               0.006337,               0.006337
                     39,                0.42392,                0.24988,                0.87011,                0.93622,                 0.7538,                0.83125,                0.58102,                 1.4399,                0.83909,                 1.1991,               0.006238,               0.006238,               0.006238
                     40,                 0.4189,                0.24709,                 0.8666,                0.93608,                0.75357,                0.83085,                0.58221,                 1.4347,                0.84342,                 1.1965,               0.006139,               0.006139,               0.006139
                     41,                 0.4158,                0.24627,                0.86822,                0.93817,                0.75278,                0.83044,                0.58228,                 1.4351,                 0.8451,                 1.1973,                0.00604,                0.00604,                0.00604
                     42,                0.41006,                0.24232,                0.86615,                0.93656,                0.75328,                0.83028,                0.58272,                 1.4339,                0.84716,                 1.1968,               0.005941,               0.005941,               0.005941
                     43,                0.40747,                0.24103,                0.86404,                 0.9346,                0.75314,                0.83025,                0.58327,                 1.4311,                0.84732,                 1.1956,               0.005842,               0.005842,               0.005842
                     44,                0.40476,                0.24012,                0.86399,                0.93342,                0.75381,                0.83016,                0.58455,                 1.4303,                0.85144,                 1.1955,               0.005743,               0.005743,               0.005743
                     45,                0.40261,                0.23914,                0.86303,                0.93356,                0.75406,                0.83039,                0.58553,                 1.4245,                0.84666,                 1.1922,               0.005644,               0.005644,               0.005644
                     46,                 0.3992,                0.23632,                0.86235,                0.93516,                0.75319,                0.83092,                0.58657,                 1.4198,                0.84366,                 1.1893,               0.005545,               0.005545,               0.005545
                     47,                 0.3957,                0.23526,                0.86081,                0.93412,                0.75547,                0.83196,                0.58823,                 1.4155,                0.83799,                 1.1867,               0.005446,               0.005446,               0.005446
                     48,                0.39359,                0.23432,                0.86077,                0.93263,                0.75629,                0.83241,                0.58853,                 1.4141,                0.83842,                 1.1862,               0.005347,               0.005347,               0.005347
                     49,                0.39117,                0.23371,                0.86125,                0.93277,                0.75637,                0.83288,                0.58953,                 1.4124,                0.83783,                 1.1858,               0.005248,               0.005248,               0.005248
                     50,                0.38744,                0.23181,                0.85835,                0.93659,                0.75416,                0.83321,                0.59008,                 1.4124,                0.83922,                 1.1864,               0.005149,               0.005149,               0.005149
                     51,                0.38488,                0.23142,                0.85767,                0.93359,                0.75763,                0.83416,                0.59039,                   1.41,                 0.8366,                  1.185,                0.00505,                0.00505,                0.00505
                     52,                0.38418,                 0.2298,                0.85892,                0.93652,                0.75619,                 0.8347,                0.59095,                 1.4096,                0.83627,                 1.1852,               0.004951,               0.004951,               0.004951
                     53,                0.37731,                0.22648,                0.85695,                0.93807,                0.75685,                0.83529,                 0.5918,                 1.4086,                0.83472,                 1.1854,               0.004852,               0.004852,               0.004852
                     54,                0.37742,                0.22792,                0.85777,                0.93683,                0.75676,                0.83588,                0.59273,                 1.4069,                 0.8313,                 1.1855,               0.004753,               0.004753,               0.004753
                     55,                0.37333,                0.22476,                 0.8567,                0.93767,                0.75803,                0.83678,                0.59301,                  1.407,                 0.8252,                 1.1865,               0.004654,               0.004654,               0.004654
                     56,                0.37156,                0.22427,                0.85498,                0.93739,                0.75866,                0.83759,                0.59363,                 1.4077,                 0.8222,                 1.1875,               0.004555,               0.004555,               0.004555
                     57,                0.36999,                0.22234,                0.85523,                0.93795,                0.75867,                0.83773,                0.59407,                 1.4094,                0.82191,                 1.1894,               0.004456,               0.004456,               0.004456
                     58,                0.36655,                0.22031,                0.85411,                0.93782,                0.75956,                0.83816,                0.59421,                 1.4101,                 0.8215,                 1.1902,               0.004357,               0.004357,               0.004357
                     59,                 0.3642,                0.21947,                0.85371,                0.93574,                0.76185,                0.83934,                0.59497,                 1.4101,                0.81983,                 1.1905,               0.004258,               0.004258,               0.004258
                     60,                0.36174,                0.21859,                 0.8528,                0.93637,                0.76141,                0.83971,                0.59578,                 1.4092,                0.82082,                 1.1902,               0.004159,               0.004159,               0.004159
                     61,                0.35849,                0.21601,                0.85187,                 0.9341,                0.76361,                0.84018,                0.59684,                 1.4091,                0.82136,                 1.1902,                0.00406,                0.00406,                0.00406
                     62,                0.35542,                0.21483,                0.85119,                0.93739,                0.76302,                0.84149,                0.59867,                 1.4063,                 0.8211,                 1.1887,               0.003961,               0.003961,               0.003961
                     63,                0.35165,                0.21276,                0.85103,                0.93764,                0.76344,                0.84164,                0.59965,                 1.4053,                0.82271,                 1.1884,               0.003862,               0.003862,               0.003862
                     64,                0.35066,                0.21043,                0.84927,                0.93674,                0.76473,                 0.8423,                0.60109,                 1.4022,                 0.8276,                 1.1869,               0.003763,               0.003763,               0.003763
                     65,                0.34575,                0.21002,                0.84871,                0.93612,                0.76381,                0.84268,                0.60278,                    1.4,                0.83575,                 1.1862,               0.003664,               0.003664,               0.003664
                     66,                0.34517,                 0.2088,                 0.8489,                0.93675,                0.76371,                 0.8431,                0.60433,                    1.4,                0.84243,                 1.1873,               0.003565,               0.003565,               0.003565
                     67,                 0.3409,                0.20638,                0.84628,                0.93737,                0.76281,                 0.8433,                0.60504,                 1.3981,                 0.8456,                  1.187,               0.003466,               0.003466,               0.003466
                     68,                0.33589,                0.20413,                0.84464,                0.93994,                0.76158,                0.84366,                0.60572,                 1.3971,                0.85054,                 1.1872,               0.003367,               0.003367,               0.003367
                     69,                0.33482,                0.20454,                0.84627,                0.94622,                0.75801,                0.84419,                0.60698,                 1.3958,                0.85346,                 1.1869,               0.003268,               0.003268,               0.003268
                     70,                0.33381,                0.20337,                0.84638,                0.94367,                0.76007,                0.84472,                0.60781,                 1.3944,                0.85571,                 1.1862,               0.003169,               0.003169,               0.003169
                     71,                0.33017,                0.20072,                0.84414,                0.94177,                0.76187,                0.84494,                0.60862,                 1.3943,                0.85546,                 1.1859,                0.00307,                0.00307,                0.00307
                     72,                0.32714,                0.19906,                0.84468,                0.94361,                0.76234,                0.84576,                 0.6101,                  1.394,                0.85801,                  1.186,               0.002971,               0.002971,               0.002971
                     73,                0.32384,                0.19865,                0.84448,                0.94269,                0.76351,                0.84688,                0.61136,                 1.3936,                0.85863,                 1.1862,               0.002872,               0.002872,               0.002872
                     74,                0.32192,                 0.1965,                0.84305,                0.94537,                0.76171,                0.84735,                0.61263,                 1.3916,                0.86118,                 1.1854,               0.002773,               0.002773,               0.002773
                     75,                 0.3185,                0.19481,                 0.8432,                0.94873,                  0.761,                0.84861,                0.61387,                 1.3899,                0.85811,                 1.1841,               0.002674,               0.002674,               0.002674
                     76,                0.31708,                0.19431,                0.84193,                0.94958,                  0.761,                0.84967,                0.61521,                   1.39,                0.85843,                 1.1842,               0.002575,               0.002575,               0.002575
                     77,                0.31294,                 0.1913,                0.83964,                0.94957,                0.76155,                0.85029,                0.61683,                 1.3878,                0.86074,                 1.1831,               0.002476,               0.002476,               0.002476
                     78,                0.30953,                0.18892,                0.84089,                0.95204,                0.75936,                0.85107,                0.61846,                 1.3851,                0.86255,                 1.1816,               0.002377,               0.002377,               0.002377
                     79,                0.30697,                0.18981,                 0.8406,                0.95259,                0.75936,                0.85149,                 0.6195,                 1.3835,                 0.8649,                 1.1815,               0.002278,               0.002278,               0.002278
                     80,                0.30316,                0.18648,                0.83961,                0.95226,                0.75936,                0.85196,                0.62086,                 1.3822,                0.86756,                 1.1813,               0.002179,               0.002179,               0.002179
                     81,                0.30108,                0.18517,                0.83922,                0.94942,                0.76105,                0.85298,                0.62189,                  1.382,                0.86597,                 1.1813,                0.00208,                0.00208,                0.00208
                     82,                0.29925,                0.18342,                0.83839,                0.94439,                0.76549,                0.85393,                 0.6232,                 1.3801,                0.86604,                 1.1804,               0.001981,               0.001981,               0.001981
                     83,                0.29606,                0.18212,                0.83648,                0.94478,                0.76468,                0.85446,                0.62432,                 1.3781,                0.86794,                 1.1793,               0.001882,               0.001882,               0.001882
                     84,                 0.2916,                0.17973,                0.83616,                0.94646,                0.76439,                0.85524,                0.62609,                 1.3759,                0.86776,                  1.178,               0.001783,               0.001783,               0.001783
                     85,                0.28901,                 0.1774,                 0.8368,                 0.9469,                0.76371,                0.85505,                0.62709,                 1.3744,                0.87327,                 1.1772,               0.001684,               0.001684,               0.001684
                     86,                0.28328,                0.17406,                0.83505,                0.94831,                0.76331,                0.85528,                0.62798,                 1.3739,                0.87827,                 1.1774,               0.001585,               0.001585,               0.001585
                     87,                0.28209,                0.17399,                0.83536,                0.94758,                0.76284,                0.85522,                0.62902,                 1.3728,                0.88113,                 1.1776,               0.001486,               0.001486,               0.001486
                     88,                 0.2809,                 0.1726,                0.83475,                 0.9485,                0.76266,                0.85559,                0.62969,                 1.3712,                0.88416,                 1.1773,               0.001387,               0.001387,               0.001387
                     89,                0.27556,                0.16944,                0.83278,                0.94928,                0.76239,                 0.8557,                0.63067,                 1.3699,                 0.8859,                  1.177,               0.001288,               0.001288,               0.001288
                     90,                0.27416,                0.16851,                0.83409,                0.94937,                0.76216,                0.85626,                 0.6313,                 1.3707,                0.88696,                 1.1779,               0.001189,               0.001189,               0.001189
                     91,                0.22123,                0.13386,                0.78326,                 0.9493,                0.76268,                 0.8569,                0.63227,                 1.3714,                0.88778,                 1.1789,                0.00109,                0.00109,                0.00109
                     92,                0.20943,                0.12793,                0.77946,                0.94909,                0.76255,                0.85758,                 0.6333,                 1.3717,                0.88884,                 1.1796,               0.000991,               0.000991,               0.000991
                     93,                0.20371,                0.12557,                 0.7784,                0.94994,                0.76191,                0.85802,                0.63453,                 1.3706,                0.89134,                 1.1799,               0.000892,               0.000892,               0.000892
                     94,                0.19842,                0.12315,                0.77776,                 0.9512,                0.76195,                0.85884,                 0.6354,                 1.3708,                0.89296,                 1.1808,               0.000793,               0.000793,               0.000793
                     95,                0.19353,                0.11976,                0.77812,                0.95607,                0.75946,                0.85949,                0.63669,                 1.3705,                0.89402,                 1.1812,               0.000694,               0.000694,               0.000694
