                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2248,                 1.8793,                 1.2597,                0.95924,                0.91624,                0.95276,                0.58487,                 1.2606,                0.96622,                 1.2046,              0.0033233,              0.0033233,              0.0033233
                      2,                 1.1914,                0.90006,                 1.1874,                0.92333,                0.85929,                0.90928,                0.51562,                 1.4963,                0.88998,                 1.3483,              0.0065907,              0.0065907,              0.0065907
                      3,                  1.259,                0.82319,                 1.2395,                0.78065,                0.77955,                0.81656,                0.46234,                 1.5289,                 3.0329,                 1.5075,              0.0097921,              0.0097921,              0.0097921
                      4,                 1.2785,                0.80223,                 1.2721,                0.93486,                0.85882,                0.91439,                0.59258,                 1.2925,                 0.7528,                 1.2962,               0.009703,               0.009703,               0.009703
                      5,                 1.2447,                0.73926,                  1.256,                0.93269,                 0.9076,                0.94101,                 0.5927,                 1.3221,                0.64804,                 1.2971,               0.009604,               0.009604,               0.009604
                      6,                 1.2067,                0.68744,                 1.2365,                0.96063,                0.91979,                0.95922,                0.63877,                  1.233,                0.58355,                 1.2342,               0.009505,               0.009505,               0.009505
                      7,                 1.1892,                0.66032,                 1.2201,                0.95496,                0.92482,                   0.96,                 0.6312,                 1.2482,                0.58265,                  1.235,               0.009406,               0.009406,               0.009406
                      8,                 1.1669,                  0.631,                 1.2043,                0.96664,                0.91052,                0.95925,                0.62974,                 1.2646,                0.55163,                  1.261,               0.009307,               0.009307,               0.009307
                      9,                 1.1565,                0.61914,                 1.2022,                0.97257,                0.93118,                0.97051,                0.65349,                 1.1748,                 0.5405,                 1.1941,               0.009208,               0.009208,               0.009208
                     10,                 1.1462,                0.61101,                 1.1923,                0.95872,                0.92777,                0.95841,                0.64699,                 1.1957,                0.54247,                 1.2077,               0.009109,               0.009109,               0.009109
                     11,                 1.1344,                0.59315,                 1.1821,                0.96139,                0.93293,                0.96449,                0.65156,                 1.1888,                0.51172,                  1.208,                0.00901,                0.00901,                0.00901
                     12,                 1.1294,                0.58487,                 1.1784,                0.97441,                0.92964,                 0.9631,                0.66477,                 1.1753,                 0.4935,                 1.1978,               0.008911,               0.008911,               0.008911
                     13,                 1.1194,                0.57442,                 1.1739,                0.96638,                 0.9273,                0.96318,                  0.647,                 1.2049,                0.51857,                 1.2136,               0.008812,               0.008812,               0.008812
                     14,                  1.106,                0.56412,                 1.1706,                0.96475,                0.93712,                  0.965,                0.65132,                 1.2087,                0.48276,                 1.2051,               0.008713,               0.008713,               0.008713
                     15,                 1.0988,                 0.5564,                 1.1609,                0.97536,                0.92826,                0.96912,                  0.677,                 1.1535,                0.47704,                 1.1843,               0.008614,               0.008614,               0.008614
                     16,                 1.0954,                0.55215,                 1.1606,                 0.9753,                0.93715,                0.96943,                0.65882,                 1.2004,                0.46763,                 1.1919,               0.008515,               0.008515,               0.008515
                     17,                 1.0902,                0.53851,                  1.157,                0.96464,                0.94675,                0.96713,                 0.6664,                 1.1442,                0.45968,                 1.1769,               0.008416,               0.008416,               0.008416
                     18,                 1.0875,                0.53784,                 1.1539,                0.97659,                0.94747,                0.97297,                0.67292,                 1.1632,                0.45105,                 1.1809,               0.008317,               0.008317,               0.008317
                     19,                 1.0787,                0.53671,                 1.1497,                0.97115,                0.95263,                0.97541,                0.67662,                 1.1346,                 0.4374,                 1.1675,               0.008218,               0.008218,               0.008218
                     20,                 1.0721,                0.52999,                 1.1456,                 0.9814,                 0.9403,                 0.9765,                0.68578,                 1.1403,                0.43492,                 1.1619,               0.008119,               0.008119,               0.008119
                     21,                 1.0729,                0.52943,                 1.1439,                0.97826,                0.94961,                0.97735,                0.69172,                 1.1213,                0.42638,                 1.1504,                0.00802,                0.00802,                0.00802
                     22,                 1.0696,                0.52011,                 1.1434,                0.97877,                0.95155,                0.97772,                0.68551,                 1.1212,                0.42913,                 1.1593,               0.007921,               0.007921,               0.007921
                     23,                 1.0686,                0.51784,                 1.1422,                0.97402,                0.94887,                0.97462,                0.68352,                 1.1202,                0.41444,                 1.1483,               0.007822,               0.007822,               0.007822
                     24,                 1.0579,                0.51237,                 1.1375,                0.98327,                 0.9531,                0.98143,                0.69875,                 1.1019,                0.40814,                 1.1432,               0.007723,               0.007723,               0.007723
                     25,                 1.0581,                0.50645,                 1.1347,                  0.977,                0.95356,                0.98103,                0.69905,                 1.1081,                0.40879,                  1.145,               0.007624,               0.007624,               0.007624
